Match Id,Match Date,Match YYMMDD,Match Type,Season,Series,Day/Night,Venue,TeamA At Home,TeamB At Home,Team Batting At Home,Team Bowling At Home,Toss Won By Team,Toss Won By Batting Team,Toss Decision,TeamA 1st Comparison,TeamA Result,Team Batting,Team Bowling,Innings,Day,Session,Time of Day (Hour),Time of Day (Min),Time of Day,Striker Id,Striker,Striker Hand,Non Striker,Non Striker Hand,Bowler Id,Bowler,Bowler Hand,Pace / Spin,Bowler Style,Spell,Over The Wicket,Northern End,Over,Ball In Over,Fair Ball In Over,Ball Speed,Ball RPM,Pitch X,Pitch Y,At Batter X,At Batter Y,Hit To Len,Hit To Angle,Bat Score,ReachedBoundary,Wides,Noballs,Byes,Legbyes,Penalty Runs,Taken By WK,Batter Out,How Out,TeamA,TeamB,TeamBattingMatchInnings1,TeamBattingMatchInnings2,TeamBattingMatchInnings3,TeamBattingMatchInnings4,MatchInnings,TeamB Result,Team Batting Result,Team Bowling Result,Inside Edge,Outside Edge,Play and Miss,Hit on Pads,Hit on Head,Hit on Body,Contact Error,Opportunity,Appeal,Bowler Variation,Batter Movement,Sweep Shot,Ramp or Paddle Shot,Reverse or Switch Shot,Injury Striker Head,Injury Striker Other,Injury Non Striker Head,Injury Non Striker Other,Injury Bowler Head,Injury Bowler Other,Event Grade,Event Infield,Pitch X Coded,Pitch Y Coded,At Batter X Coded,At Batter Y Coded,Catch,Catch Assist,Dropped Catch,Runout,Runout Assist
1070558,18-Sep-2012,20120918,4 Day,2012-13,Domestic 1st Class M,N,WACA Ground,Y,N,N,Y,NSW (M),Y,To Bowl,3,Lost Outright,NSW (M),WA (M),1,2,1,9,36,09:36,970313,"Henry, Scott",Left,"Nevill, Peter",Right,700011,"Johnson, Mitchell",Left,Pace,Fast,2,Y,S,4,3,3,,,230,7077,364,929,0,0,0,N,0,0,0,0,0,Y,,,WA (M),NSW (M),WA (M),NSW (M),WA (M),NSW (M),2,Won Outright,Won Outright,Lost Outright,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,230,7077,364,929,N,N,N,N,N
1070558,18-Sep-2012,20120918,4 Day,2012-13,Domestic 1st Class M,N,WACA Ground,Y,N,N,Y,NSW (M),Y,To Bowl,3,Lost Outright,NSW (M),WA (M),1,2,1,9,37,09:37,970313,"Henry, Scott",Left,"Nevill, Peter",Right,700011,"Johnson, Mitchell",Left,Pace,Fast,2,Y,S,4,4,4,,,378,6354,511,673,0,0,0,N,0,0,0,0,0,Y,,,WA (M),NSW (M),WA (M),NSW (M),WA (M),NSW (M),2,Won Outright,Won Outright,Lost Outright,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,378,6354,511,673,N,N,N,N,N
1070558,18-Sep-2012,20120918,4 Day,2012-13,Domestic 1st Class M,N,WACA Ground,Y,N,N,Y,NSW (M),Y,To Bowl,3,Lost Outright,NSW (M),WA (M),1,2,1,9,37,09:37,970313,"Henry, Scott",Left,"Nevill, Peter",Right,700011,"Johnson, Mitchell",Left,Pace,Fast,2,Y,S,4,5,5,,,485,6354,170,752,0,0,0,N,0,0,0,0,0,Y,,,WA (M),NSW (M),WA (M),NSW (M),WA (M),NSW (M),2,Won Outright,Won Outright,Lost Outright,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,485,6354,170,752,N,N,N,N,N
1070558,18-Sep-2012,20120918,4 Day,2012-13,Domestic 1st Class M,N,WACA Ground,Y,N,N,Y,NSW (M),Y,To Bowl,3,Lost Outright,NSW (M),WA (M),1,2,1,9,38,09:38,970313,"Henry, Scott",Left,"Nevill, Peter",Right,700011,"Johnson, Mitchell",Left,Pace,Fast,2,Y,S,4,6,6,,,549,8056,419,1021,0,0,0,N,0,0,0,0,0,Y,,,WA (M),NSW (M),WA (M),NSW (M),WA (M),NSW (M),2,Won Outright,Won Outright,Lost Outright,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,549,8056,419,1021,N,N,N,N,N
1070558,18-Sep-2012,20120918,4 Day,2012-13,Domestic 1st Class M,N,WACA Ground,Y,N,N,Y,NSW (M),Y,To Bowl,3,Lost Outright,NSW (M),WA (M),1,2,1,9,39,09:39,2960002,"Nevill, Peter",Right,"Henry, Scott",Left,2700112,"Rimmington, Nathan",Right,Pace,Fast-Medium,3,Y,N,5,1,1,,,749,7205,562,801,0,0,0,N,0,0,0,0,0,Y,,,WA (M),NSW (M),WA (M),NSW (M),WA (M),NSW (M),2,Won Outright,Won Outright,Lost Outright,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,749,7205,562,801,N,N,N,N,N
1070558,18-Sep-2012,20120918,4 Day,2012-13,Domestic 1st Class M,N,WACA Ground,Y,N,N,Y,NSW (M),Y,To Bowl,3,Lost Outright,NSW (M),WA (M),1,2,1,9,40,09:40,2960002,"Nevill, Peter",Right,"Henry, Scott",Left,2700112,"Rimmington, Nathan",Right,Pace,Fast-Medium,3,Y,N,5,2,2,,,962,7460,720,844,0,0,0,N,0,0,0,0,0,Y,,,WA (M),NSW (M),WA (M),NSW (M),WA (M),NSW (M),2,Won Outright,Won Outright,Lost Outright,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,962,7460,720,844,N,N,N,N,N
1070558,18-Sep-2012,20120918,4 Day,2012-13,Domestic 1st Class M,N,WACA Ground,Y,N,N,Y,NSW (M),Y,To Bowl,3,Lost Outright,NSW (M),WA (M),1,2,1,9,40,09:40,2960002,"Nevill, Peter",Right,"Henry, Scott",Left,2700112,"Rimmington, Nathan",Right,Pace,Fast-Medium,3,Y,N,5,3,3,,,345,5716,25,673,33,-86,1,N,0,0,0,0,0,N,,,WA (M),NSW (M),WA (M),NSW (M),WA (M),NSW (M),2,Won Outright,Won Outright,Lost Outright,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,345,5716,25,673,N,N,N,N,N
1070558,18-Sep-2012,20120918,4 Day,2012-13,Domestic 1st Class M,N,WACA Ground,Y,N,N,Y,NSW (M),Y,To Bowl,3,Lost Outright,NSW (M),WA (M),1,2,1,9,41,09:41,970313,"Henry, Scott",Left,"Nevill, Peter",Right,2700112,"Rimmington, Nathan",Right,Pace,Fast-Medium,3,Y,N,5,4,4,,,357,6056,586,655,0,0,0,N,0,0,0,0,0,Y,,,WA (M),NSW (M),WA (M),NSW (M),WA (M),NSW (M),2,Won Outright,Won Outright,Lost Outright,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,357,6056,586,655,N,N,N,N,N
1070558,18-Sep-2012,20120918,4 Day,2012-13,Domestic 1st Class M,N,WACA Ground,Y,N,N,Y,NSW (M),Y,To Bowl,3,Lost Outright,NSW (M),WA (M),1,2,1,9,41,09:41,970313,"Henry, Scott",Left,"Nevill, Peter",Right,2700112,"Rimmington, Nathan",Right,Pace,Fast-Medium,3,Y,N,5,5,5,,,81,6184,407,661,0,0,0,N,0,0,0,0,0,Y,,,WA (M),NSW (M),WA (M),NSW (M),WA (M),NSW (M),2,Won Outright,Won Outright,Lost Outright,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,81,6184,407,661,N,N,N,N,N
1070558,18-Sep-2012,20120918,4 Day,2012-13,Domestic 1st Class M,N,WACA Ground,Y,N,N,Y,NSW (M),Y,To Bowl,3,Lost Outright,NSW (M),WA (M),1,2,1,9,42,09:42,970313,"Henry, Scott",Left,"Nevill, Peter",Right,2700112,"Rimmington, Nathan",Right,Pace,Fast-Medium,3,Y,N,5,6,6,,,-47,5886,115,576,24,77,0,N,0,0,0,0,0,N,,,WA (M),NSW (M),WA (M),NSW (M),WA (M),NSW (M),2,Won Outright,Won Outright,Lost Outright,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,-47,5886,115,576,N,N,N,N,N
